tweetid,timestamp,tweet_type,followers,retweet_id,retweet_count,text,author_id,language,verified,keywords
1.38E+18,2021-04-07T09:20:18.000Z,retweeted,1888,1.38E+18,996,RT @The_TUC: Statutory sick pay goes up today from £95.85 to £96.35 a week.  That’s a rise of just 50p a week -  during a global pandemic.…,1327892887,en,FALSE,RT Statutory sick pay goes up today from £9585 £9635
1.38E+18,2021-04-07T09:17:44.000Z,retweeted,44,1.38E+18,996,RT @The_TUC: Statutory sick pay goes up today from £95.85 to £96.35 a week.  That’s a rise of just 50p a week -  during a global pandemic.…,7.82E+17,en,FALSE,RT Statutory sick pay goes up today from £9585 £9635
1.38E+18,2021-04-07T09:14:53.000Z,retweeted,1765,1.38E+18,996,RT @The_TUC: Statutory sick pay goes up today from £95.85 to £96.35 a week.  That’s a rise of just 50p a week -  during a global pandemic.…,2523085886,en,FALSE,RT Statutory sick pay goes up today from £9585 £9635
1.38E+18,2021-04-07T09:05:18.000Z,retweeted,3245,1.38E+18,996,RT @The_TUC: Statutory sick pay goes up today from £95.85 to £96.35 a week.  That’s a rise of just 50p a week -  during a global pandemic.…,9.91E+17,en,FALSE,RT Statutory sick pay goes up today from £9585 £9635
1.38E+18,2021-04-07T09:03:44.000Z,retweeted,3097,1.38E+18,996,RT @The_TUC: Statutory sick pay goes up today from £95.85 to £96.35 a week.  That’s a rise of just 50p a week -  during a global pandemic.…,305179983,en,FALSE,RT Statutory sick pay goes up today from £9585 £9635
1.38E+18,2021-04-07T09:02:46.000Z,retweeted,72,1.38E+18,996,RT @The_TUC: Statutory sick pay goes up today from £95.85 to £96.35 a week.  That’s a rise of just 50p a week -  during a global pandemic.…,1.00E+18,en,FALSE,RT Statutory sick pay goes up today from £9585 £9635
1.38E+18,2021-04-07T09:02:11.000Z,retweeted,815,1.38E+18,996,RT @The_TUC: Statutory sick pay goes up today from £95.85 to £96.35 a week.  That’s a rise of just 50p a week -  during a global pandemic.…,3081552473,en,FALSE,RT Statutory sick pay goes up today from £9585 £9635
1.38E+18,2021-04-07T09:01:11.000Z,retweeted,34,1.38E+18,996,RT @The_TUC: Statutory sick pay goes up today from £95.85 to £96.35 a week.  That’s a rise of just 50p a week -  during a global pandemic.…,2170551839,en,FALSE,RT Statutory sick pay goes up today from £9585 £9635
1.38E+18,2021-04-07T08:58:15.000Z,retweeted,1045,1.38E+18,996,RT @The_TUC: Statutory sick pay goes up today from £95.85 to £96.35 a week.  That’s a rise of just 50p a week -  during a global pandemic.…,24158979,en,FALSE,RT Statutory sick pay goes up today from £9585 £9635
1.38E+18,2021-04-07T08:49:02.000Z,retweeted,73,1.38E+18,996,RT @The_TUC: Statutory sick pay goes up today from £95.85 to £96.35 a week.  That’s a rise of just 50p a week -  during a global pandemic.…,452256261,en,FALSE,RT Statutory sick pay goes up today from £9585 £9635
